Search for FDA Guidance Documents | FDA,,,,,,,,
Summary,Document,Issue Date,FDA Organization,Topic,Guidance Status,Open for Comment,Comment Closing Date on Draft,Docket Number
"Electronic Systems, Electronic Records, and Electronic Signatures in Clinical Investigations:  Questions and Answers","PDF (545.68 KB)PDF (545.68 KB) of Electronic Systems, Electronic Records, and Electronic Signatures in Clinical Investigations:  Questions and Answers",10/01/2024,"Center for Drug Evaluation and ResearchOffice of the Commissioner,Office of Clinical Policy and Programs",Administrative / Procedural,Final,No,05/15/2023,FDA-2017-D-1105
CVM GFI #116 (VICH GL23 (R2)) Studies to Evaluate the Safety of Residues of Veterinary Drugs in Human Food: Genotoxicity Testing (Revision 2),PDF (429.95 KB)PDF (429.95 KB) of CVM GFI #116 (VICH GL23 (R2)) Studies to Evaluate the Safety of Residues of Veterinary Drugs in Human Food: Genotoxicity Testing (Revision 2),09/30/2024,Center for Veterinary Medicine,"Human Food Safety, VICH",Draft,No,11/29/2024,FDA-2000-D-0598
Air Powered Dental Handpieces and Air Motors - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,PDF (519.17 KB)PDF (519.17 KB) of Air Powered Dental Handpieces and Air Motors - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,09/30/2024,Center for Devices and Radiological Health,"Premarket, 510(k), Dental",Final,No,,FDA-2024-D-4168
Dental Cements - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,PDF (528.42 KB)PDF (528.42 KB) of Dental Cements - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,09/30/2024,Center for Devices and Radiological Health,"Premarket, 510(k), Dental",Final,No,,FDA-2024-D-4171
Dental Ceramics - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,PDF (450.79 KB)PDF (450.79 KB) of Dental Ceramics - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,09/30/2024,Center for Devices and Radiological Health,"Premarket, 510(k), Dental",Final,No,,FDA-2024-D-4169
Dental Impression Materials - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,PDF (473.92 KB)PDF (473.92 KB) of Dental Impression Materials - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,09/30/2024,Center for Devices and Radiological Health,"Premarket, 510(k), Dental",Final,No,,FDA-2024-D-4170
Clarification of Radiation Control Regulations For Manufacturers of Diagnostic X-Ray Equipment:  Guidance for Industry and Food and Drug Administration Staff,PDF (922.48 KB)PDF (922.48 KB) of Clarification of Radiation Control Regulations For Manufacturers of Diagnostic X-Ray Equipment:  Guidance for Industry and Food and Drug Administration Staff,09/27/2024,"Center for Devices and Radiological Health,Office of Product Evaluation and Quality,Office of In Vitro Diagnostics and Radiological Health","Export, Import, Labeling, Radiology",Final,No,,FDA-2018-D-4115
Clinical Pharmacology Considerations for Human Radiolabeled Mass Balance Studies,PDF (271.51 KB)PDF (271.51 KB) of Clinical Pharmacology Considerations for Human Radiolabeled Mass Balance Studies,09/26/2024,Center for Drug Evaluation and Research,Clinical - Pharmacology,Final,No,08/04/2022,FDA-2022-D-0113
"Small Entity Compliance Guide: Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption","PDF (475.82 KB)PDF (475.82 KB) of Small Entity Compliance Guide: Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption",09/25/2024,Human Foods Program,Produce,Final,No,,FDA-2011-N-0921
An Acceptable Circular of Information for the Use of Human Blood and Blood Components:  Guidance for Industry,PDF (226.66 KB)PDF (226.66 KB) of An Acceptable Circular of Information for the Use of Human Blood and Blood Components:  Guidance for Industry,09/25/2024,Center for Biologics Evaluation and Research,"Blood, Blood Products",Final,No,,FDA-2002-D-0223
"Basic Safety and Essential Performance of Medical Electrical Equipment, Medical Electrical Systems, and Laboratory Medical Equipment - Standards Specific Information for the Accreditation Scheme for Conformity Assessment (ASCA) Program: Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff","PDF (657.84 KB)PDF (657.84 KB) of Basic Safety and Essential Performance of Medical Electrical Equipment, Medical Electrical Systems, and Laboratory Medical Equipment - Standards Specific Information for the Accreditation Scheme for Conformity Assessment (ASCA) Program: Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",09/23/2024,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket,",Draft,No,12/23/2024,FDA-2019-D-3805
"Biocompatibility Testing of Medical Devices - Standards Specific Information for the Accreditation Scheme for Conformity Assessment (ASCA) Program : Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff","PDF (4.71 MB)PDF (4.71 MB) of Biocompatibility Testing of Medical Devices - Standards Specific Information for the Accreditation Scheme for Conformity Assessment (ASCA) Program : Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",09/23/2024,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket,",Draft,No,12/23/2024,FDA-2019-D-3805
"The Accreditation Scheme for Conformity Assessment (ASCA) Program: Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff","PDF (1.42 MB)PDF (1.42 MB) of The Accreditation Scheme for Conformity Assessment (ASCA) Program: Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",09/23/2024,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket,",Draft,No,12/23/2024,FDA-2019-D-3805
Chemical Analysis for Biocompatibility Assessment of Medical Devices: Draft Guidance for Industry and Food and Drug Administration Staff,PDF (1002.96 KB)PDF (1002.96 KB) of Chemical Analysis for Biocompatibility Assessment of Medical Devices: Draft Guidance for Industry and Food and Drug Administration Staff,09/20/2024,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket, Chemistry, Manufacturing, and Controls (CMC)",Draft,No,12/19/2024,FDA-2024-D-4165
Conducting Clinical Trials With Decentralized Elements,PDF (528.44 KB)PDF (528.44 KB) of Conducting Clinical Trials With Decentralized Elements,09/18/2024,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and ResearchCenter for Devices and Radiological HealthOncology Center of Excellence,Clinical - Medical,Final,No,08/01/2023,FDA-2022-D-2870
Integrating Randomized Controlled Trials for Drug and Biological Products Into Routine Clinical Practice: Draft Guidance for Industry,PDF (320.1 KB)PDF (320.1 KB) of Integrating Randomized Controlled Trials for Drug and Biological Products Into Routine Clinical Practice: Draft Guidance for Industry,09/18/2024,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and ResearchOncology Center of Excellence,"Real World Data / Real World Evidence (RWD/RWE),",Draft,No,12/17/2024,FDA-2024-D-2052
"CVM GFI #227 Chemistry, Manufacturing, and Controls (CMC) Technical Section Filing Strategies","PDF (311.11 KB)PDF (311.11 KB) of CVM GFI #227 Chemistry, Manufacturing, and Controls (CMC) Technical Section Filing Strategies",09/17/2024,Center for Veterinary Medicine,"Premarket, Animal Drugs, Chemistry, Manufacturing, and Controls (CMC), Investigational New Animal Drug (INAD), New Animal Drug Application (NADA)",Draft,No,11/18/2024,FDA-2014-D-1492
Data Standards Catalog,,09/16/2024,Center for Biologics Evaluation and ResearchCenter for Devices and Radiological HealthCenter for Drug Evaluation and ResearchHuman Foods ProgramCenter for Veterinary Medicine,,Final,No,,
Considerations for Generating Clinical Evidence from Oncology Multiregional Clinical Development Programs,PDF (306.07 KB)PDF (306.07 KB) of Considerations for Generating Clinical Evidence from Oncology Multiregional Clinical Development Programs,09/16/2024,Oncology Center of Excellence,Clinical - Medical,Draft,No,11/18/2024,FDA-2024-D-3163
Enforcement Policy for Required Warnings for Cigarette Packages and Advertisements,PDF (131.88 KB)PDF (131.88 KB) of Enforcement Policy for Required Warnings for Cigarette Packages and Advertisements,09/13/2024,Center for Tobacco Products,,Final,No,,FDA-2024-D-3742
Providing Regulatory Submissions in Electronic Format — Certain Human Pharmaceutical Product Applications and Related Submissions Using the eCTD Specifications Guidance for Industry,PDF (362.91 KB)PDF (362.91 KB) of Providing Regulatory Submissions in Electronic Format — Certain Human Pharmaceutical Product Applications and Related Submissions Using the eCTD Specifications Guidance for Industry,09/13/2024,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Electronic Submissions,",Final,No,,FDA-2014-N-1006
Submission of Plans for Cigarette Packages and Cigarette Advertisements (Revised),PDF (539.45 KB)PDF (539.45 KB) of Submission of Plans for Cigarette Packages and Cigarette Advertisements (Revised),09/12/2024,Center for Tobacco Products,,Final,No,,FDA-2019-D-5364
Required Warnings for Cigarette Packages and Advertisements: Small Entity Compliance Guide (Revised):  Guidance for Industry,PDF (805.23 KB)PDF (805.23 KB) of Required Warnings for Cigarette Packages and Advertisements: Small Entity Compliance Guide (Revised):  Guidance for Industry,09/12/2024,Center for Tobacco Products,,Final,No,,FDA-2020-D-0988
ANDA Submissions | Amendments to Abbreviated New Drug Applications Under GDUFA:  Guidance for Industry,PDF (400.85 KB)PDF (400.85 KB) of ANDA Submissions | Amendments to Abbreviated New Drug Applications Under GDUFA:  Guidance for Industry,09/11/2024,Center for Drug Evaluation and Research,"User Fees, Drug Competition Action Plan, Generic Drugs",Final,No,,FDA-2017-D-5670
"Appeal Options Available to Mammography Facilities Concerning Adverse Accreditation Decisions, Suspension/Revocation of Certificates, or Patient and Referring Provider Notification Orders:  Guidance for Mammography Facilities and Food and Drug Administration Staff","PDF (335.19 KB)PDF (335.19 KB) of Appeal Options Available to Mammography Facilities Concerning Adverse Accreditation Decisions, Suspension/Revocation of Certificates, or Patient and Referring Provider Notification Orders:  Guidance for Mammography Facilities and Food and Drug Administration Staff",09/10/2024,Center for Devices and Radiological Health,"Investigation & Enforcement, Administrative / Procedural, Radiological Health, Radiology",Final,No,,FDA-2020-D-1317
Withdrawn Guidances (Biologics),,09/06/2024,Center for Biologics Evaluation and Research,,Final,No,,
"Incorporating Voluntary Patient Preference Information over the Total Product Life Cycle: Draft Guidance for Industry, Food and Drug Administration Staff, and Other Interested Parties","PDF (887.62 KB)PDF (887.62 KB) of Incorporating Voluntary Patient Preference Information over the Total Product Life Cycle: Draft Guidance for Industry, Food and Drug Administration Staff, and Other Interested Parties",09/06/2024,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,,Draft,No,12/05/2024,FDA-2015-D-1580
Control of Nitrosamine Impurities in Human Drugs:  Guidance for Industry,PDF (665 KB)PDF (665 KB) of Control of Nitrosamine Impurities in Human Drugs:  Guidance for Industry,09/05/2024,Center for Drug Evaluation and Research,"Current Good Manufacturing Practice (CGMP), Pharmaceutical Quality",Final,No,,FDA-2020-D-1530
Bioresearch Monitoring Technical Conformance Guide,PDF (581.57 KB)PDF (581.57 KB) of Bioresearch Monitoring Technical Conformance Guide,09/03/2024,Center for Drug Evaluation and Research,"Electronic Submissions,",Final,No,,FDA-2018-D-1216
Voluntary Malfunction Summary Reporting (VMSR) Program for Manufacturers:  Guidance for Industry and Food and Drug Administration Staff,PDF (795.35 KB)PDF (795.35 KB) of Voluntary Malfunction Summary Reporting (VMSR) Program for Manufacturers:  Guidance for Industry and Food and Drug Administration Staff,08/29/2024,Center for Biologics Evaluation and ResearchCenter for Devices and Radiological Health,,Final,No,,FDA-2022-D-2873
CVM GFI #63 (VICH GL1) Validation of Analytical Procedures: Definition and Terminology,PDF (373.12 KB)PDF (373.12 KB) of CVM GFI #63 (VICH GL1) Validation of Analytical Procedures: Definition and Terminology,08/28/2024,Center for Veterinary Medicine,"Chemistry, Manufacturing, and Controls (CMC), VICH",Final,No,,FDA-2021-D-0614
CVM GFI #64 (VICH  GL2) Validation of Analytical Procedures: Methodology,PDF (423.07 KB)PDF (423.07 KB) of CVM GFI #64 (VICH  GL2) Validation of Analytical Procedures: Methodology,08/28/2024,Center for Veterinary Medicine,"Chemistry, Manufacturing, and Controls (CMC), VICH",Final,No,,FDA-2021-D-0616
Mammography Quality Standards Act and Regulation Amendments: Small Entity Compliance Guide:  Guidance for Industry and Food and Drug Administration Staff,PDF (864.29 KB)PDF (864.29 KB) of Mammography Quality Standards Act and Regulation Amendments: Small Entity Compliance Guide:  Guidance for Industry and Food and Drug Administration Staff,08/26/2024,Center for Devices and Radiological Health,,Final,No,,FDA-2013-N-0134
Electronic Submission Template for Medical Device De Novo Requests:  Guidance for Industry and Food and Drug Administration Staff,PDF (664.24 KB)PDF (664.24 KB) of Electronic Submission Template for Medical Device De Novo Requests:  Guidance for Industry and Food and Drug Administration Staff,08/23/2024,Center for Biologics Evaluation and ResearchCenter for Devices and Radiological Health,"Premarket, Electronic Submissions,",Final,No,,FDA-2023-D-3788
"FDA and Industry Procedures for Section 513(g) Requests for Information under the Federal Food, Drug, and Cosmetic Act:  Guidance for Industry and Food and Drug Administration Staff","PDF (553.88 KB)PDF (553.88 KB) of FDA and Industry Procedures for Section 513(g) Requests for Information under the Federal Food, Drug, and Cosmetic Act:  Guidance for Industry and Food and Drug Administration Staff",08/23/2024,Center for Biologics Evaluation and ResearchCenter for Devices and Radiological Health,"Premarket, Administrative / Procedural, Labeling",Final,No,,FDA-2010-D-0153
